Name,Current Price,MRP,Discount,Delivery,Stars,Rating,Reviews
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500 Nits Brig...","₹1,299","₹8,499",84% off,Free delivery,4.1,"3,29,421 Ratings "," 19,269 Reviews"
"Boult Drift BT Calling HD Display, 140+ Watchfaces, Com...","₹1,099","₹7,999",86% off,Upto ,4.1,"3,29,421 Ratings "," 19,269 Reviews"
"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, B...","₹1,099","₹4,999",78% off,Free delivery,4.1,"5,67,643 Ratings "," 37,149 Reviews"
"Noise Twist Go 1.39'' Display, Bluetooth Calling, Metal...","₹1,399","₹4,999",72% off,Free delivery,4.2,"1,34,469 Ratings "," 8,277 Reviews"
Fire-Boltt Ninja Calling Pro Plus 46.5mm (1.83) Display...,"₹1,399","₹9,999",86% off,Free delivery,4.1,"3,80,667 Ratings "," 46,716 Reviews"
"Boult CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Allo...","₹2,299","₹6,999",67% off,Free delivery,4.2,"35,384 Ratings "," 2,451 Reviews"
"boAt Lunar Discovery w/ Turn by Turn Navigation, 3.53 c...","₹1,499","₹8,499",82% off,Free delivery,4,"7,756 Ratings ", 522 Reviews
Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...,"₹1,399","₹5,999",76% off,Free delivery,4.1,"7,31,021 Ratings "," 40,745 Reviews"
Fire-Boltt Ninja Calling Pro Plus 46.5mm (1.83) Display...,"₹1,399","₹9,999",86% off,Free delivery,4.1,"3,80,667 Ratings "," 46,716 Reviews"
"boAt Wave Fury with 1.83'' HD Display, Bluetooth Callin...","₹1,399","₹6,999",80% off,Free delivery,4.1,"80,935 Ratings "," 3,895 Reviews"
"Boult Mirage 1.39"" Screen, BT Calling, Working Crown, Z...","₹1,799","₹4,999",64% off,Free delivery,4.1,"12,791 Ratings ", 774 Reviews
"Noise Twist Go 1.39'' Display, Bluetooth Calling, Metal...","₹1,399","₹4,999",72% off,Free delivery,4.2,"1,34,469 Ratings "," 8,277 Reviews"
Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...,"₹1,399","₹5,999",76% off,Free delivery,4.1,"7,31,021 Ratings "," 40,745 Reviews"
"Cellecor STEW 1.83"" BT Calling, 500 NITS, AI Voice Assi...",₹999,"₹3,999",75% off,Free delivery,4.2,"3,696 Ratings ", 263 Reviews
"Noise Icon 2 1.8'' Display with Bluetooth Calling, Wome...","₹1,399","₹5,999",76% off,Free delivery,4.1,"7,31,021 Ratings "," 40,745 Reviews"
Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...,"₹1,399","₹5,999",76% off,Free delivery,4.1,"7,31,021 Ratings "," 40,745 Reviews"
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500 Nits Brig...","₹1,299","₹8,499",84% off,Free delivery,4.1,"3,29,421 Ratings "," 19,269 Reviews"
"Boult Trail Pro 2.01'' 3D Curved Display + AMOLED, 600 ...","₹1,899","₹6,999",72% off,Free delivery,4.1,"1,605 Ratings ", 189 Reviews
